"Measures","CO2e  (t)","CO2e  (t)-Previous Period (Oct 2021 - Sep 2022)","Proportion (%)","Variance (%)","Start Period","End Period"
"Electricity [kWh]","72578.5421","76979.2961","64.95","-5.71","Oct 2022","Sep 2023"
"Natural Gas [cf]","14164.8773","14099.5069","12.67","0.46","Oct 2022","Sep 2023"
"Natural Gas [therms]","9564.6118","9618.1609","8.56","-0.55","Oct 2022","Sep 2023"
"Refrigerant HFC-143a [kg]","8048.4","5947","7.2","35.33","Oct 2022","Sep 2023"
"Refrigerant R22 [kg]","5084.0365","4937.2382","4.55","2.97","Oct 2022","Sep 2023"
"Steam [therms]","1191.6829","1182.5376","1.06","0.77","Oct 2022","Sep 2023"
"Natural Gas [GJ]","634.6655","635.3697","0.56","-0.11","Oct 2022","Sep 2023"
"Steam [MMBtu]","485.8747","485.1956","0.43","0.13","Oct 2022","Sep 2023"
"Diesel Transport [gal]","292.4485","294.8408","0.26","-0.81","Oct 2022","Sep 2023"
"Diesel Stationary [L]","30.62","28.5328","0.02","7.31","Oct 2022","Sep 2023"
"Business flights [miles]","2.4642","68.0894","0","-96.38","Oct 2022","Sep 2023"
"Paper [kg]","1.0787","4.2337","0","-74.52","Oct 2022","Sep 2023"
"Electricity - Green [kWh]","-350.4697","-356.801","-0.31","-1.77","Oct 2022","Sep 2023"